Cooperativa,Nome fantasia,Estado,Cidade,Status da escola,Programa Educacional
Sicredi das Culturas RS/MG,EMEI PRIMEIROS PASSOS,RIO GRANDE DO SUL,JOIA,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,Escola Modelo Ella Kurth,SANTA CATARINA,RIO DO SUL,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,EMEF Machado de Assis,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Região Centro RS/MG,EMEF Jose Miollo,RIO GRANDE DO SUL,SAO MARTINHO DA SERRA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEI Dante Ramiro,RIO GRANDE DO SUL,LAVRAS DO SUL,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,Pântano Grande,RIO GRANDE DO SUL,PANTANO GRANDE,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEF Homero Lima,RIO GRANDE DO SUL,CASCA,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,EMEF Bibiano Batista,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Gerações RS/MG,EMEF Marechal Rondon,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Integração de Estados RS/SC/MG,CE Alto Barra Nova,SANTA CATARINA,PETROLANDIA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,Brincar e Aprender,RIO GRANDE DO SUL,SAO SEPE,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,CEI Sonho Feliz,SANTA CATARINA,LONTRAS,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF  PROFESSORA MARIA PEREIRA TEIXEIRA,RIO GRANDE DO SUL,VILA NOVA DO SUL,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEI Mundo Encantado,RIO GRANDE DO SUL,MARAU,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,EMEF Anjo da Guarda,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Região Centro RS/MG,EM Dona Terezinha de Jesus Viana Camargos,MINAS GERAIS,SAO JOSE DA LAPA,Ativo,Jornada da Educação Financeira nas Escolas
